"Adobe","airliquidegroup","Alstom","ArcelorMittal","Capgemini","Cisco","ENGIEgroup","Forrester","Generalelectric","Intel","MaerskLine","Oracle","PublicisGroupe","Rexel_Group","SAFRAN","Salesforce","SolvayGroup","TechnipGroup","VMware","VolvoTrucksFR"
"Topic 3 - 6188.27","Topic 3 - 4794.94","Topic 1 - 3984.03","Topic 70 - 5620.92","Topic 45 - 5433.14","Topic 45 - 5114.61","Topic 32 - 4270.59","Topic 29 - 4658.35","Topic 96 - 5097.96","Topic 46 - 5278.05","Topic 78 - 4420.45","Topic 89 - 5637.91","Topic 55 - 5091.29","Topic 70 - 4020.16","Topic 11 - 4602.55","Topic 11 - 5321.57","Topic 22 - 5275.34","Topic 94 - 0.00","Topic 70 - 5714.68","Topic 23 - 0.00"
"Topic 63 - 5921.91","Topic 29 - 4324.22","Topic 21 - 3773.30","Topic 96 - 5512.10","Topic 26 - 5345.06","Topic 46 - 5108.35","Topic 70 - 4233.17","Topic 12 - 4509.16","Topic 23 - 4960.39","Topic 23 - 5270.77","Topic 11 - 4240.01","Topic 45 - 5442.24","Topic 62 - 5040.62","Topic 39 - 3822.20","Topic 22 - 4342.46","Topic 78 - 5117.11","Topic 30 - 5093.61","Topic 30 - 0.00","Topic 11 - 5499.03","Topic 47 - 0.00"
"Topic 23 - 5861.47","Topic 25 - 4167.26","Topic 70 - 3544.44","Topic 11 - 5470.78","Topic 22 - 5289.35","Topic 24 - 5042.94","Topic 13 - 4229.28","Topic 78 - 4398.49","Topic 48 - 4899.80","Topic 11 - 4666.50","Topic 24 - 3950.36","Topic 25 - 5295.93","Topic 63 - 4719.47","Topic 63 - 3616.92","Topic 29 - 3924.28","Topic 60 - 5021.35","Topic 63 - 5044.63","Topic 12 - 0.00","Topic 24 - 4947.45","Topic 25 - 0.00"
"Topic 24 - 5747.15","Topic 13 - 3828.11","Topic 39 - 3489.65","Topic 48 - 5016.85","Topic 89 - 5241.98","Topic 1 - 4952.91","Topic 25 - 4165.84","Topic 39 - 4382.13","Topic 78 - 4430.73","Topic 70 - 4487.77","Topic 70 - 3689.98","Topic 78 - 5199.41","Topic 78 - 4618.27","Topic 25 - 3331.01","Topic 26 - 3871.56","Topic 25 - 4721.65","Topic 96 - 4871.27","Topic 55 - 0.00","Topic 13 - 4880.21","Topic 29 - 0.00"
"Topic 1 - 5740.42","Topic 89 - 3818.07","Topic 45 - 3281.23","Topic 89 - 4967.57","Topic 29 - 4763.31","Topic 70 - 4731.90","Topic 29 - 3731.19","Topic 25 - 3633.43","Topic 89 - 4293.04","Topic 1 - 4355.20","Topic 63 - 3644.86","Topic 24 - 4885.12","Topic 11 - 4127.47","Topic 49 - 2676.03","Topic 70 - 3737.59","Topic 70 - 4676.28","Topic 11 - 4859.44","Topic 78 - 0.00","Topic 45 - 4764.59","Topic 30 - 0.00"
"Topic 60 - 5506.81","Topic 39 - 3620.82","Topic 26 - 3202.20","Topic 13 - 4919.46","Topic 24 - 4480.77","Topic 62 - 4670.16","Topic 23 - 3559.87","Topic 22 - 3615.71","Topic 22 - 4218.94","Topic 13 - 4261.04","Topic 100 - 3609.68","Topic 60 - 4561.72","Topic 70 - 4101.28","Topic 6 - 2466.08","Topic 60 - 3666.88","Topic 89 - 4648.86","Topic 48 - 4707.97","Topic 70 - 0.00","Topic 46 - 4761.95","Topic 32 - 0.00"
"Topic 26 - 5465.04","Topic 96 - 3483.74","Topic 13 - 3081.15","Topic 23 - 4596.18","Topic 60 - 4387.19","Topic 11 - 4426.79","Topic 24 - 3518.44","Topic 46 - 2614.43","Topic 13 - 3955.99","Topic 29 - 3649.91","Topic 32 - 3498.03","Topic 46 - 4494.51","Topic 60 - 4034.47","Topic 32 - 2258.13","Topic 78 - 3646.95","Topic 46 - 4468.68","Topic 89 - 4261.27","Topic 48 - 0.00","Topic 3 - 4729.55","Topic 33 - 0.00"
"Topic 70 - 5244.84","Topic 23 - 3481.44","Topic 46 - 2987.64","Topic 26 - 4488.59","Topic 25 - 3917.48","Topic 22 - 4372.96","Topic 89 - 3337.30","Topic 63 - 2540.12","Topic 70 - 3807.30","Topic 26 - 3644.31","Topic 89 - 3488.50","Topic 63 - 4038.69","Topic 23 - 3670.78","Topic 60 - 2052.85","Topic 89 - 3349.58","Topic 24 - 4325.39","Topic 60 - 4166.50","Topic 62 - 0.00","Topic 6 - 4463.76","Topic 36 - 0.00"
"Topic 11 - 5241.75","Topic 70 - 3386.69","Topic 100 - 2880.81","Topic 32 - 4194.78","Topic 63 - 3856.39","Topic 63 - 4329.47","Topic 63 - 2548.80","Topic 6 - 2497.77","Topic 63 - 3441.70","Topic 45 - 3532.93","Topic 13 - 3008.44","Topic 70 - 3913.67","Topic 29 - 3503.96","Topic 45 - 2052.85","Topic 21 - 3309.97","Topic 26 - 4145.41","Topic 70 - 4046.14","Topic 60 - 0.00","Topic 63 - 4135.36","Topic 42 - 0.00"
"Topic 46 - 4965.55","Topic 6 - 3023.60","Topic 60 - 2617.36","Topic 25 - 4001.26","Topic 70 - 3839.38","Topic 6 - 4112.51","Topic 45 - 2418.04","Topic 60 - 2316.22","Topic 45 - 3305.66","Topic 63 - 3279.73","Topic 22 - 3001.54","Topic 29 - 3505.27","Topic 89 - 3452.90","Topic 46 - 1791.57","Topic 63 - 3040.76","Topic 29 - 4129.89","Topic 13 - 3246.82","Topic 26 - 0.00","Topic 26 - 3652.83","Topic 45 - 0.00"
"Topic 29 - 3816.52","Topic 45 - 3008.68","Topic 63 - 1596.41","Topic 6 - 3823.85","Topic 46 - 3721.84","Topic 26 - 3704.41","Topic 60 - 2349.07","Topic 70 - 2311.65","Topic 60 - 2809.44","Topic 6 - 2993.82","Topic 46 - 2876.11","Topic 26 - 3328.34","Topic 45 - 2463.62","Topic 62 - 1231.71","Topic 45 - 2608.50","Topic 63 - 3841.16","Topic 45 - 2748.29","Topic 29 - 0.00","Topic 29 - 3121.38","Topic 26 - 0.00"
"Topic 89 - 2601.87","Topic 63 - 2502.16","Topic 6 - 876.16","Topic 63 - 3475.04","Topic 6 - 2466.01","Topic 89 - 3405.87","Topic 6 - 2044.83","Topic 26 - 1686.37","Topic 6 - 2460.05","Topic 89 - 2245.41","Topic 45 - 2240.45","Topic 6 - 2459.62","Topic 6 - 2370.35","Topic 100 - 769.82","Topic 6 - 1562.99","Topic 6 - 1967.73","Topic 6 - 1955.39","Topic 1 - 0.00","Topic 89 - 2931.76","Topic 100 - 0.00"
